2. STATE VARIABLES
              |eps   |eta |theta        -clock        |gamma
              s11    s21   prev      X      t     t'      r      f
       s.N      1      1      2     10     40      1      1      1

7. AUXILIARY OUTCOMES

      Earn Columns=1

 Value of States and Choice Probabilities
 ------------------------------------------------------------------------------
Indx   I   T   Aprev   X   t     r     f       EV      |Choice Probabilities:
 799   1   0   0   1   9  39     0     0      -0.002234 0.537097 0.462903
 798   1   0   0   0   9  39     0     0       0.172736 0.788198 0.211802
 797   1   0   0   1   8  39     0     0      -0.017256 0.546401 0.453599
 796   1   0   0   0   8  39     0     0       0.165889 0.794855 0.205145

  40   1   0   0   0   0   2     0     0       0.791827 0.883808 0.116192
  23   1   0   0   1   1   1     0     0       0.581534 0.673111 0.326889
  22   1   0   0   0   1   1     0     0       0.866569 0.875447 0.124553
  21   1   0   0   1   0   1     0     0       0.497750 0.688032 0.311968
  20   1   0   0   0   0   1     0     0       0.793830 0.883788 0.116212
   0   1   0   0   0   0   0     0     0       0.795648 0.883770 0.116230
 ------------------------------------------------------------------------------
